CAMPUS,CAMPNAME,CDALLS,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,REGION,REGNNAME
'001902001,CAYUGA H S,96,169,100,18,10.3,175,169,0,0,58,34.3,2,1.2,0,0,29,17.2,0,0,A,CAYUGA ISD,'001902,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001902041,CAYUGA MIDDLE,84,159,100,15,10.3,146,159,0,0,63,39.6,1,0.6,0,0,26,16.4,0,0,B,CAYUGA ISD,'001902,8,6,'06 - 08,M,'07,REGION 07: KILGORE
'001902103,CAYUGA EL,91,121,49.2,30,14,214,246,0,0,113,45.9,3,1.2,0,0,29,11.8,0,0,A,CAYUGA ISD,'001902,5,KG,'KG - 05,E,'07,REGION 07: KILGORE
'001903001,ELKHART H S,89,307,100,59,15.9,371,307,0,0,106,34.5,4,1.3,0,0,35,11.4,0,0,B,ELKHART ISD,'001903,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001903041,ELKHART MIDDLE,83,268,100,39,13.5,289,268,0,0,117,43.7,5,1.9,0,0,33,12.3,0,0,B,ELKHART ISD,'001903,8,6,'06 - 08,M,'07,REGION 07: KILGORE
'001903101,ELKHART EL,91,0,0,39,19.7,198,320,0,0,185,57.8,13,4.1,0,0,46,14.4,0,0,A,ELKHART ISD,'001903,2,PK,'PK - 02,E,'07,REGION 07: KILGORE
'001903102,ELKHART INT,91,255,100,51,17.3,295,255,0,0,114,44.7,10,3.9,0,0,25,9.8,0,0,A,ELKHART ISD,'001903,5,3,'03 - 05,E,'07,REGION 07: KILGORE
'001904001,FRANKSTON H S,95,232,100,44,18.3,240,232,.,0,98,42.2,11,4.7,0,0,29,12.5,.,0,A,FRANKSTON ISD,'001904,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001904041,FRANKSTON MIDDLE,79,203,100,48,21.3,225,203,.,0,107,52.7,7,3.4,.,0,37,18.2,.,0,C,FRANKSTON ISD,'001904,8,6,'06 - 08,M,'07,REGION 07: KILGORE
'001904102,FRANKSTON EL,93,166,44.5,51,16.7,306,373,.,0,233,62.5,15,4,.,0,40,10.7,.,0,A,FRANKSTON ISD,'001904,5,PK,'PK - 05,E,'07,REGION 07: KILGORE
'001906002,NECHES H S,95,104,100,12,12.1,99,104,0,0,50,48.1,3,2.9,0,0,12,11.5,0,0,A,NECHES ISD,'001906,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001906102,NECHES EL,93,144,60.5,37,17.7,209,238,0,0,135,56.7,4,1.7,0,0,24,10.1,0,0,A,NECHES ISD,'001906,8,PK,'PK - 08,E,'07,REGION 07: KILGORE
'001907001,PALESTINE H S,88,1040,100,147,13.5,1088,1040,0,0,831,79.9,143,13.8,0,0,139,13.4,0,0,B,PALESTINE ISD,'001907,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001907041,PALESTINE J H,86,502,100,86,15.1,569,502,0,0,392,78.1,95,18.9,0,0,66,13.1,0,0,B,PALESTINE ISD,'001907,8,7,'07 - 08,M,'07,REGION 07: KILGORE
'001907101,NORTHSIDE PRI,78,0,0,55,19.4,283,484,0,0,423,87.4,76,15.7,0,0,62,12.8,0,0,C,PALESTINE ISD,'001907,1,KG,'KG - 01,E,'07,REGION 07: KILGORE
